tick,timestamp,app_count,elta_total_supply,fees_collected_total,gas_total
0,1700008601,3,77000000000000000000000000,0,0
1,1700010401,3,77000000000000000000000000,0,446179
2,1700012201,3,77000000000000000000000000,0,699901
3,1700014001,3,77000000000000000000000000,0,699901
4,1700015801,3,77000000000000000000000000,0,699901
5,1700017601,3,77000000000000000000000000,0,699901
6,1700019401,3,77000000000000000000000000,0,699901
7,1700021201,3,77000000000000000000000000,0,699901
8,1700023001,3,77000000000000000000000000,0,699901
9,1700024801,3,77000000000000000000000000,0,699901
9,1700026601,3,77000000000000000000000000,0,699901
