tick,timestamp,price_ALPHA,price_BETA,totalAgentValue,totalVolume
0,1700002026,101.24123239016218,38.90696029742573,120000,0
1,1700005626,102.31425567459175,41.60801187222202,120000,96
2,1700009226,103.78317309040393,42.61647650673833,120096.81260491358,179
3,1700012826,101.06569805538133,44.90259857216454,120460.99608072081,279
4,1700016426,102.74156009161274,46.9615999531527,121032.00921191371,323
5,1700020026,104.70942542399636,45.89481285618703,120714.74885145793,396
6,1700023626,107.1713205929408,43.917178336611144,120268.52841979991,464
7,1700027226,107.85611588405354,42.28023945447539,119908.76776127797,506
8,1700030826,105.34478030810156,43.98245425524399,120143.73462724172,583
9,1700034426,108.4739957655841,46.10057206920127,120877.04677557503,654
10,1700038026,105.101223495198,45.90945055040576,120598.88373514297,674
11,1700041626,107.04629515304408,45.0482754348416,120430.5687819533,690
12,1700045226,105.15643357464903,44.2173946576307,120013.82408424895,700
13,1700048826,108.67895889141043,46.512588991613626,121084.5350899537,741
14,1700052426,107.97705771265554,46.04801058990299,120852.34805001448,781
14,1700056026,107.97705771265554,46.04801058990299,120852.34805001448,781
