tick,timestamp,app_count,elta_total_supply,fees_collected_total,gas_total
0,1700008601,3,77000000000000000000000000,0,0
1,1700010401,3,77000000000000000000000000,0,971727
2,1700012201,3,77000000000000000000000000,4899934098548552826,1902615
3,1700014001,3,77000000000000000000000000,16073882064875247368,2596857
4,1700015801,3,77000000000000000000000000,26968964379523457103,3256899
5,1700017601,3,77000000000000000000000000,35414110915245812036,4018412
6,1700019401,3,77000000000000000000000000,48819426342837157965,4559883
7,1700021201,3,77000000000000000000000000,59119426342837157965,5084266
8,1700023001,3,77000000000000000000000000,67423450742205967641,5811555
9,1700024801,3,77000000000000000000000000,77830284922152017340,6318826
9,1700026601,3,77000000000000000000000000,77830284922152017340,6318826
